#+TITLE: CENTRAAL EXAMEN: VWO 2016:2024
#+STARTUP: hidestars
#+OPTIONS: ^:nil
#+SETUPFILE: https://fniessen.github.io/org-html-themes/org/theme-bigblow.setup
#+HTML_HEAD: <style>
#+HTML_HEAD: body {
#+HTML_HEAD:   max-width: 1200px; /* Change to your desired width */
#+HTML_HEAD:   margin: 0 auto;    /* Center the content */
#+HTML_HEAD: }
#+HTML_HEAD: </style>


* NAV161VB.TXT

| Vraagnummer | Betrokken Voorwerpen/Concepten                                      | Wat moet je doen of berekenen?                                                                                  | Benodigde kennis/vaardigheden                                                  |
| 17               | Dubbelspleetexperiment, buiging                               | Leg uit hoe de breedte van de spleten invloed heeft op het interferentiepatroon en wat er gebeurt zonder buiging.                            | Begrip van buiging, interferentie, en golflengtes.                                   |
| 18               | Kofferexperiment, fotonen                                     | Toon aan dat er gemiddeld maar één foton tegelijk in het systeem is.                                                                          | Berekening van fotonenergie en fotonstroom.                                          |
| 19               | Kofferexperiment, kans op centrale piek                      | Leg uit hoe de kans op detectie in de centrale piek wordt bepaald en of Bente gelijk heeft.                                                   | Begrip van kansberekening en quantumgedrag.                                          |
| 20               | Kofferexperiment, golfgedrag                                 | Geef een voorbeeld van het golfgedrag van licht in het kofferexperiment.                                                                      | Begrip van golfgedrag en interferentie.                                              |
| 21               | Kofferexperiment, deeltjesgedrag                             | Geef een voorbeeld van het deeltjesgedrag van licht in het kofferexperiment.                                                                  | Begrip van deeltjesgedrag en detectie.                                               |
| 22               | Latin American Tower, grondtoonfrequentie                    | Bepaal de frequentie van de grondtoon van de Latin American Tower.                                                                            | Grafiekanalyse en trillingen.                                                        |
| 23               | Latin American Tower, versnelling                           | Bepaal de gemiddelde versnelling van de top van de toren.                                                                                     | Grafiekanalyse, versnelling, en beweging.                                            |
| 24               | Liniaal, boventonen                                          | Leid de formule voor boventonen af van een liniaal die aan één kant is ingeklemd.                                                             | Begrip van golven, boventonen, en trillingen.                                        |
| 25               | Latin American Tower, boventonenverhouding                   | Controleer of de verhouding tussen de eerste en tweede boventoon klopt binnen een marge van 10%.                                              | Relaties tussen frequenties en boventonen.                                           |
| 26               | Gebouwhoogte, grondfrequentie                                | Toon aan of de gegevens in de tabel een omgekeerd evenredig verband vertonen.                                                                 | Analyse van meetpunten en omgekeerd evenredige relaties.                             |
| 27               | Aardbevingsfrequentie, schade aan gebouwen                   | Bepaal de frequentiegrenzen van de bodemtrillingen die schade veroorzaakten.                                                                  | Grafiekanalyse, resonantie, en bouwfrequenties.                                       |

